id,country,institution,namerank,has_wiki,sitelinks,pageviews_30d,log_pv,log_sl
csrankings_jiajun_wu_0001,USA,Stanford University,0.4319,0,0,0,0.0,0.0
csrankings_shwetak_patel,USA,University of Washington,0.6738,1,4,658,6.490723534502507,1.6094379124341003
csrankings_oussama_khatib,USA,Stanford University,0.578,1,7,643,6.467698726104354,2.0794415416798357
csrankings_mendel_rosenblum,USA,Stanford University,0.5908,1,4,2203,7.698029170272805,1.6094379124341003
csrankings_marijn_heule,USA,Carnegie Mellon University,0.6632,1,2,589,6.380122536899765,1.0986122886681096
csrankings_adrian_sampson,USA,Cornell University,0.5688,0,0,0,0.0,0.0
csrankings_jonathan_aldrich,USA,Carnegie Mellon University,0.6238,0,0,0,0.0,0.0
csrankings_mona_t__diab,USA,Carnegie Mellon University,0.4749,1,4,301,5.71042701737487,1.6094379124341003
csrankings_david_brumley,USA,Carnegie Mellon University,0.5905,1,1,360,5.8888779583328805,0.6931471805599453
csrankings_zico_kolter,USA,Carnegie Mellon University,0.5322,1,2,2752,7.920446505142607,1.0986122886681096
csrankings_guy_e__blelloch,USA,Carnegie Mellon University,0.6341,1,4,295,5.69035945432406,1.6094379124341003
csrankings_kirstin_h__petersen,USA,Cornell University,0.5114,0,0,0,0.0,0.0
csrankings_stefano_ermon,USA,Stanford University,0.6157,0,0,0,0.0,0.0
csrankings_robert_e__tarjan,USA,Princeton University,0.56,1,29,2765,7.925157512224704,3.4011973816621555
csrankings_vitaly_shmatikov_tech,USA,Cornell University,0.6086,1,1,182,5.209486152841421,0.6931471805599453
csrankings_amy_j__ko,USA,University of Washington,0.5799,1,2,396,5.983936280687191,1.0986122886681096
csrankings_steven_l__salzberg,USA,Johns Hopkins University,0.6662,1,3,516,6.248042874508429,1.3862943611198906
csrankings_chris_thomas_0004,USA,Virginia Tech,0.1372,0,0,0,0.0,0.0
csrankings_abraham_matta,USA,Boston University,0.4136,0,0,0,0.0,0.0
csrankings_daniel_rakita,USA,Yale University,0.3538,0,0,0,0.0,0.0
csrankings_jin_xu_0002,China,Peking University,0.2227,0,0,0,0.0,0.0
csrankings_christopher_j__maclellan,USA,Georgia Institute of Technology,0.4135,0,0,0,0.0,0.0
csrankings_zheng_jun_zha,China,USTC,0.4527,0,0,0,0.0,0.0
csrankings_mingxing_xu,China,Tsinghua University,0.3273,0,0,0,0.0,0.0
csrankings_mohsen_ghaffari_0001,USA,Massachusetts Inst. of Technology,0.4592,0,0,0,0.0,0.0
csrankings_xinming_ou,USA,University of South Florida,0.51,0,0,0,0.0,0.0
csrankings_sam_tobin_hochstadt,USA,Indiana University,0.5571,0,0,0,0.0,0.0
csrankings_gangshan_wu,China,Nanjing University,0.3673,0,0,0,0.0,0.0
csrankings_estrid_he,USA,RMIT University,0.1759,0,0,0,0.0,0.0
csrankings_mark_yim,USA,University of Pennsylvania,0.563,0,0,0,0.0,0.0
csrankings_bangalore_s__manjunath,USA,Univ. of California - Santa Barbara,0.5311,0,0,0,0.0,0.0
csrankings_shijia_pan,USA,Univ. of California - Merced,0.4073,0,0,0,0.0,0.0
csrankings_dan_mcquillan,USA,Goldsmiths University of London,0.5768,0,0,0,0.0,0.0
csrankings_lesia_semenova,USA,Rutgers University,0.138,0,0,0,0.0,0.0
csrankings_leonid_reyzin,USA,Boston University,0.6211,0,0,0,0.0,0.0
csrankings_yuan_yao_0001,China,Nanjing University,0.2351,0,0,0,0.0,0.0
csrankings_patrick_traynor,USA,University of Florida,0.5724,0,0,0,0.0,0.0
csrankings_mohammed_safayet_arefin,USA,Colorado State University,0.1527,0,0,0,0.0,0.0
csrankings_jeff_clune,USA,University of British Columbia,0.6108,1,1,492,6.20050917404269,0.6931471805599453
csrankings_benjamin_m__marlin,USA,Univ. of Massachusetts Amherst,0.4943,0,0,0,0.0,0.0
csrankings_ruihua_song,China,Renmin University of China,0.5127,0,0,0,0.0,0.0
csrankings_jianxin_wu_0001,China,Nanjing University,0.4254,0,0,0,0.0,0.0
csrankings_david_j__crandall,USA,Indiana University,0.5689,0,0,0,0.0,0.0
csrankings_anand_bhattad,USA,Johns Hopkins University,0.193,0,0,0,0.0,0.0
csrankings_yi_ming_li,China,Tsinghua University,0.153,0,0,0,0.0,0.0
csrankings_geir_e__dullerud,USA,Univ. of Illinois at Urbana-Champaign,0.5965,0,0,0,0.0,0.0
csrankings_john_edwards_0002,USA,Utah State University,0.1846,0,0,0,0.0,0.0
csrankings_eugenia_ha_rim_rho,USA,Virginia Tech,0.3722,0,0,0,0.0,0.0
csrankings_tinoosh_mohsenin,USA,Johns Hopkins University,0.4157,0,0,0,0.0,0.0
csrankings_bill_punch_0001,USA,Michigan State University,0.3784,0,0,0,0.0,0.0
csrankings_m__ani_hsieh,USA,University of Pennsylvania,0.463,0,0,0,0.0,0.0
csrankings_kevin_r__b__butler,USA,University of Florida,0.5192,0,0,0,0.0,0.0
csrankings_carl_f__disalvo,USA,Georgia Institute of Technology,0.6538,0,0,0,0.0,0.0
csrankings_frank_a__drews,USA,Ohio University,0.2435,0,0,0,0.0,0.0
csrankings_pascal_hitzler,USA,Kansas State University,0.6465,1,2,271,5.605802066295998,1.0986122886681096
csrankings_hongzhi_wang_0001,China,Harbin Institute of Technology,0.4304,0,0,0,0.0,0.0
csrankings_yaxiong_xie,USA,University at Buffalo,0.2822,0,0,0,0.0,0.0
csrankings_debin_zhao,China,Harbin Institute of Technology,0.4219,0,0,0,0.0,0.0
csrankings_kos_ldeczi,USA,Vanderbilt University,0.5469,0,0,0,0.0,0.0
csrankings_xiaojian_liao,China,Beihang University,0.2241,0,0,0,0.0,0.0
csrankings_elizabeth_cherry,USA,Georgia Institute of Technology,0.2332,0,0,0,0.0,0.0
csrankings_dan_roth_0001,USA,University of Pennsylvania,0.4627,0,0,0,0.0,0.0
csrankings_charalampos_papamanthou,USA,Yale University,0.5507,0,0,0,0.0,0.0
csrankings_theodore_p__pavlic,USA,Arizona State University,0.4659,0,0,0,0.0,0.0
csrankings_amir_houmansadr,USA,Univ. of Massachusetts Amherst,0.6162,0,0,0,0.0,0.0
csrankings_robin_d__dowell,USA,University of Colorado Boulder,0.4468,0,0,0,0.0,0.0
csrankings_najim_dehak,USA,Johns Hopkins University,0.5357,0,0,0,0.0,0.0
csrankings_zeyun_yu,USA,Univ. of Wisconsin - Milwaukee,0.4781,0,0,0,0.0,0.0
csrankings_carl_disalvo,USA,Georgia Institute of Technology,0.6008,0,0,0,0.0,0.0
csrankings_angjoo_kanazawa,USA,Univ. of California - Berkeley,0.5119,0,0,0,0.0,0.0
csrankings_hu_ding,China,USTC,0.3941,0,0,0,0.0,0.0
csrankings_coskun_bayrak,USA,Univ. of Arkansas - Little Rock,0.4697,0,0,0,0.0,0.0
csrankings_liangming_pan,China,Peking University,0.2695,0,0,0,0.0,0.0
csrankings_uri_j__wilensky,USA,Northwestern University,0.6514,1,3,356,5.877735781779639,1.3862943611198906
csrankings_sushil_k__prasad,USA,University of Texas at San Antonio,0.4068,0,0,0,0.0,0.0
csrankings_seung_jun_kim_0002,USA,Univ. of Maryland - Baltimore County,0.3024,0,0,0,0.0,0.0
csrankings_dongyoon_lee,USA,Stony Brook University,0.49,0,0,0,0.0,0.0
csrankings_fuxin_li,USA,Oregon State University,0.4408,0,0,0,0.0,0.0
csrankings_jian_huang_0006,USA,Univ. of Illinois at Urbana-Champaign,0.3127,0,0,0,0.0,0.0
csrankings_bahman_kalantari,USA,Rutgers University,0.5011,0,0,0,0.0,0.0
csrankings_david_m__brooks,USA,Harvard University,0.3927,0,0,0,0.0,0.0
csrankings_cherri_m__pancake,USA,Oregon State University,0.4851,1,3,184,5.220355825078325,1.3862943611198906
csrankings_jacob_murray,USA,Washington State University,0.183,0,0,0,0.0,0.0
csrankings_monica_n__agrawal,USA,Duke University,0.2403,0,0,0,0.0,0.0
csrankings_hannah_kerner,USA,Arizona State University,0.4189,0,0,0,0.0,0.0
csrankings_laurie_williams,USA,North Carolina State University,0.6222,1,1,164,5.10594547390058,0.6931471805599453
csrankings_aaron_mueller,USA,Boston University,0.2451,0,0,0,0.0,0.0
csrankings_naomi_sirkin,USA,Drexel University,0.1186,0,0,0,0.0,0.0
csrankings_james_t__canning,USA,University of Massachusetts Lowell,0.2089,0,0,0,0.0,0.0
csrankings_sanjoy_dasgupta,USA,Univ. of California - San Diego,0.6197,0,0,0,0.0,0.0
csrankings_tlay_adali,USA,Univ. of Maryland - Baltimore County,0.6646,1,4,544,6.300785794663244,1.6094379124341003
csrankings_yubei_chen,USA,Univ. of California - Davis,0.3654,0,0,0,0.0,0.0
csrankings_xia_zhou,USA,Columbia University,0.3746,1,6,111,4.718498871295094,1.9459101490553132
csrankings_zhuoyue_zhao_0001,USA,University at Buffalo,0.2597,0,0,0,0.0,0.0
csrankings_jiayi_ma_0001,China,Wuhan University,0.4605,0,0,0,0.0,0.0
csrankings_lynn_l__peterson,USA,University of Texas at Arlington,0.186,0,0,0,0.0,0.0
csrankings_ala_i__al_fuqaha,USA,Western Michigan University,0.5454,0,0,0,0.0,0.0
csrankings_shanshan_feng_0001,China,Wuhan University,0.1597,0,0,0,0.0,0.0
csrankings_yuqing_kong,China,Peking University,0.337,0,0,0,0.0,0.0
csrankings_qiuyue_wang,China,Renmin University of China,0.2853,0,0,0,0.0,0.0
csrankings_yan_song_0003,China,USTC,0.1116,0,0,0,0.0,0.0
csrankings_iqbal_gondal,USA,RMIT University,0.3957,0,0,0,0.0,0.0
csrankings_ben_reichardt,USA,University of Southern California,0.5305,0,0,0,0.0,0.0
csrankings_jesse_l__barlow,USA,Pennsylvania State University,0.4108,0,0,0,0.0,0.0
csrankings_bill_lin_0001,USA,Univ. of California - San Diego,0.3768,0,0,0,0.0,0.0
csrankings_lei_sha,China,Beihang University,0.2841,0,0,0,0.0,0.0
csrankings_judith_odili_uchidiuno,USA,Georgia Institute of Technology,0.2473,0,0,0,0.0,0.0
csrankings_jeffrey_todd_ogle,USA,Virginia Tech,0.1973,0,0,0,0.0,0.0
csrankings_swabha_swayamdipta,USA,University of Southern California,0.4868,0,0,0,0.0,0.0
csrankings_xinming_zhang_0001,China,USTC,0.2832,0,0,0,0.0,0.0
csrankings_nathan_jacobs,USA,Washington University in St. Louis,0.4173,1,1,65,4.189654742026425,0.6931471805599453
csrankings_dingwen_wang,China,Wuhan University,0.273,0,0,0,0.0,0.0
csrankings_zhitao_ying,USA,Yale University,0.2654,0,0,0,0.0,0.0
csrankings_r__iris_bahar,USA,Colorado School of Mines,0.4254,1,1,130,4.875197323201151,0.6931471805599453
