id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_2021_fifa_arab_cup,2021 FIFA Arab Cup,0.8648648648648649,0.34186785515333823,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Qatar,sports,2021,11,62553,1042934,16.67,25,343.0,199
event_2021_nrl_grand_final,2021 NRL Grand Final,0.8648648648648649,0.34186785515333823,0.0,0.0,0.0,37,Anglo-America & Oceania,Oceania,Australia,sports,2021,10,9762,85355,8.74,13,416.0,191
event_2023_sierra_leonean_general_election,2023 Sierra Leonean general election,0.8611111111111112,0.34583054438857597,0.05555555555555555,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Sierra Leone,politics_elections,2023,6,5984,66799,11.16,17,49.2,142
event_listvyazhnaya_mine_disaster,Listvyazhnaya mine disaster,0.8611111111111112,0.34583054438857597,0.05555555555555555,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,accident_disaster,2021,11,10468,38439,3.67,5,17.6,76
event_2021_national_games_of_china,2021 National Games of China,0.8611111111111112,0.34583054438857597,0.0,0.0,0.0,36,East Asia,East Asia,China,sports,2021,9,1508,29760,19.73,33,24.9,105
event_2023_asia_cup,2023 Asia Cup,0.8378378378378378,0.36859950532394203,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,South Asia,Pakistan,sports,2023,8,873775,11169094,12.78,21,1630.5,180
event_battle_of_bakhmut,Battle of Bakhmut,0.8378378378378378,0.36859950532394203,0.10810810810810811,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,5,24291,1610541,66.3,194,10923.8,182
event_red_sea_crisis,Red Sea crisis,0.8378378378378378,0.36859950532394203,0.05405405405405406,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Yemen,conflict_terrorism,2023,10,19411,929299,47.87,132,1635.4,183
event_2023_emilia_romagna_floods,2023 Emilia-Romagna floods,0.8378378378378378,0.36859950532394203,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,Italy,natural_disaster,2023,5,22843,148486,6.5,14,57.0,126
event_2023_rugby_world_cup_final,2023 Rugby World Cup final,0.8378378378378378,0.3685995053239421,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,France,sports,2023,10,7972,114382,14.35,17,205.2,121
event_2022_pakistan_super_league,2022 Pakistan Super League,0.8378378378378378,0.36859950532394203,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,South Asia,Pakistan,sports,2022,1,14246,455253,31.96,62,527.3,196
event_2022_bronx_apartment_fire,2022 Bronx apartment fire,0.8378378378378378,0.36859950532394203,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,United States,accident_disaster,2022,1,27676,173651,6.27,13,69.6,188
event_2022_ekiti_state_gubernatorial_election,2022 Ekiti State gubernatorial election,0.8333333333333334,0.37267799624996495,0.0,0.0,0.0,36,Middle East & Africa,Sub-Saharan Africa,Nigeria,politics_elections,2022,6,4479,32160,7.18,13,9.3,194
