entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,,0.2914,0.0151,-0.2763,0.324,0.378
mid_tier_filmmaker_boots_riley,Boots Riley,mid_tier_filmmaker,,0.8492,0.573,-0.2762,0.0,0.027
artifact_elevenlabs_company,ElevenLabs (company),ai_startup_or_company,,0.7738,0.4986,-0.2752,0.0,0.0
sam_altman,Sam Altman,reference_pilot,,0.6097,0.3351,-0.2746,0.027,0.0
geoffrey_hinton,Geoffrey Hinton,reference_pilot,,0.6157,0.3411,-0.2746,0.0,0.081
csrankings_vincent_aleven,Vincent Aleven,cs_faculty,Carnegie Mellon University,0.663,0.3901,-0.2729,0.0,0.027
imo_jetze_zoethout,Jetze Zoethout,imo_gold,,0.3178,0.0454,-0.2724,0.297,0.405
csrankings_kunle_olukotun,Kunle Olukotun,cs_faculty,Stanford University,0.6246,0.3527,-0.2719,0.0,0.027
tri_dao,Tri Dao,reference_pilot,,0.532,0.2605,-0.2715,0.081,0.108
msra_tomoaki_higo_2008,Tomoaki Higo,msra_phd_fellowship,,0.2946,0.0232,-0.2714,0.297,0.27
imo_ariel_zylber,Ariel Zylber,imo_gold,,0.3154,0.0478,-0.2676,0.243,0.324
msra_chong_zu_2012,Chong Zu,msra_phd_fellowship,,0.2714,0.0043,-0.2671,0.378,0.378
oa_author_koutarou_matsumoto,Koutarou Matsumoto,long_tail_researcher_openalex,Kurume University,0.2686,0.0032,-0.2654,0.432,0.297
jiayi_weng,Jiayi Weng,reference_pilot,,0.3311,0.067,-0.2641,0.243,0.351
artifact_rabbit,Rabbit,ai_startup_or_company,,0.6703,0.4065,-0.2638,0.054,0.054
mid_tier_politician_douard_philippe,Édouard Philippe,mid_tier_politician,,0.6514,0.3949,-0.2565,0.0,0.0
imo_ravi_jagadeeshan,Ravi Jagadeeshan,imo_gold,,0.3154,0.0592,-0.2562,0.297,0.378
oa_author_mamouna_diagne,Maïmouna Diagne,long_tail_researcher_openalex,Écologie Marine Tropicale des Océans Pacifique et Indien,0.2557,0.0003,-0.2554,0.432,0.297
mid_tier_writer_charlie_jane_anders,Charlie Jane Anders,mid_tier_writer,,0.8119,0.5576,-0.2543,0.0,0.0
mid_tier_filmmaker_paul_thomas_anderson,Paul Thomas Anderson,mid_tier_filmmaker,,0.7046,0.4508,-0.2538,0.0,0.0
mid_tier_filmmaker_spike_lee,Spike Lee,mid_tier_filmmaker,,0.7584,0.5051,-0.2533,0.0,0.0
mid_tier_filmmaker_lulu_wang,Lulu Wang,mid_tier_filmmaker,,0.8351,0.5819,-0.2532,0.0,0.027
imo_motoki_takigiku,Motoki Takigiku,imo_gold,,0.2811,0.0281,-0.253,0.378,0.405
flashattention,FlashAttention,reference_pilot,,0.607,0.3589,-0.2481,0.0,0.054
csrankings_min_xu_0009,Min Xu 0009,cs_faculty,Carnegie Mellon University,0.2659,0.0186,-0.2473,0.378,0.324
csrankings_daphne_ippolito,Daphne Ippolito,cs_faculty,Carnegie Mellon University,0.4341,0.1876,-0.2465,0.135,0.054
csrankings_christoforos_e__kozyrakis,Christoforos E. Kozyrakis,cs_faculty,Stanford University,0.6016,0.3557,-0.2459,0.108,0.027
imo_yau_wing_li,Yau Wing Li,imo_gold,,0.3035,0.0581,-0.2454,0.297,0.324
msra_bo_yu_2009,Bo Yu,msra_phd_fellowship,,0.2446,0.0,-0.2446,0.351,0.405
artifact_tabnine,Tabnine,ai_startup_or_company,,0.6108,0.3662,-0.2446,0.0,0.0
csrankings_mendel_rosenblum,Mendel Rosenblum,cs_faculty,Stanford University,0.5908,0.352,-0.2388,0.027,0.054
csrankings_oussama_khatib,Oussama Khatib,cs_faculty,Stanford University,0.578,0.3392,-0.2388,0.0,0.027
mid_tier_writer_holly_black,Holly Black,mid_tier_writer,,0.843,0.6049,-0.2381,0.0,0.0
oa_author_muhammad_ali_sodik,Muhammad Ali Sodik,long_tail_researcher_openalex,,0.2378,0.0008,-0.237,0.541,0.297
msra_william_voorsluys_2009,William Voorsluys,msra_phd_fellowship,,0.3054,0.0689,-0.2365,0.378,0.297
csrankings_guy_e__blelloch,Guy E. Blelloch,cs_faculty,Carnegie Mellon University,0.6341,0.3992,-0.2349,0.054,0.0
artifact_allennlp,AllenNLP,oss_project,,0.6195,0.3889,-0.2306,0.0,0.0
andrej_karpathy,Andrej Karpathy,reference_pilot,,0.6143,0.3859,-0.2284,0.0,0.0
mid_tier_writer_casey_mcquiston,Casey McQuiston,mid_tier_writer,,0.7959,0.5676,-0.2283,0.0,0.0
csrankings_ashish_goel,Ashish Goel,cs_faculty,Stanford University,0.5923,0.3643,-0.228,0.054,0.027
csrankings_jonathan_aldrich,Jonathan Aldrich,cs_faculty,Carnegie Mellon University,0.6238,0.3962,-0.2276,0.027,0.027
artifact_cursor,Cursor,oss_project,,0.3051,0.0816,-0.2235,0.054,0.189
csrankings_mark_a__horowitz,Mark A. Horowitz,cs_faculty,Stanford University,0.6035,0.3803,-0.2232,0.027,0.027
csrankings_stefano_ermon,Stefano Ermon,cs_faculty,Stanford University,0.6157,0.3938,-0.2219,0.0,0.0
artifact_chain_of_thought,Chain-of-Thought,oss_project,,0.2892,0.0673,-0.2219,0.0,0.378
mid_tier_filmmaker_olivier_assayas,Olivier Assayas,mid_tier_filmmaker,,0.673,0.4535,-0.2195,0.0,0.0
mid_tier_politician_yair_lapid,Yair Lapid,mid_tier_politician,,0.5259,0.3081,-0.2178,0.0,0.0
msra_muoi_tran_2019,Muoi Tran,msra_phd_fellowship,,0.2384,0.0216,-0.2168,0.378,0.378
imo_bobby_shen,Bobby Shen,imo_gold,,0.3122,0.0959,-0.2163,0.189,0.162
csrankings_david_lindlbauer,David Lindlbauer,cs_faculty,Carnegie Mellon University,0.4878,0.273,-0.2148,0.162,0.027
csrankings_mingxing_xu,Mingxing Xu,cs_faculty,Tsinghua University,0.3273,0.1141,-0.2132,0.27,0.216
artifact_pydantic,Pydantic,oss_project,,0.6778,0.4646,-0.2132,0.0,0.0
csrankings_balaji_prabhakar,Balaji Prabhakar,cs_faculty,Stanford University,0.5707,0.3624,-0.2083,0.054,0.054
csrankings_jin_xu_0002,Jin Xu 0002,cs_faculty,Peking University,0.2227,0.0146,-0.2081,0.432,0.378
csrankings_srinivasan_seshan,Srinivasan Seshan,cs_faculty,Carnegie Mellon University,0.5845,0.3768,-0.2077,0.054,0.054
csrankings_christopher_piech,Christopher Piech,cs_faculty,Stanford University,0.5982,0.3919,-0.2063,0.027,0.027
mid_tier_filmmaker_charlie_kaufman,Charlie Kaufman,mid_tier_filmmaker,,0.7581,0.5595,-0.1986,0.0,0.0
csrankings_liangming_pan,Liangming Pan,cs_faculty,Peking University,0.2695,0.0735,-0.196,0.378,0.108
