entity_id,entity_name,cohort,western_mean,chinese_mean,delta_chinese_minus_western,abs_delta
imo_hak_myong_mun,Hak Myong Mun,imo_gold,0.2691,0.2964,0.0273,0.0273
imo_mehmet_sonmez,Mehmet Sönmez,imo_gold,0.2561,0.165,-0.0911,0.0911
imo_zhuo_qun_alex_song,Zhuo Qun (Alex) Song,imo_gold,0.5787,0.5979,0.0192,0.0192
imo_how_si_yu,How Si Yu,imo_gold,0.2909,0.1857,-0.1052,0.1052
imo_chong_hong_song,Chong Hong Song,imo_gold,0.2474,0.1843,-0.0631,0.0631
imo_akashnil_dutta,Akashnil Dutta,imo_gold,0.3891,0.41,0.0209,0.0209
imo_rom_dudkiewicz,Rom Dudkiewicz,imo_gold,0.3548,0.1893,-0.1655,0.1655
imo_octav_dragoi,Octav Drăgoi,imo_gold,0.5274,0.3286,-0.1988,0.1988
imo_yue_ding,Yue Ding,imo_gold,0.3365,0.19,-0.1465,0.1465
imo_mina_dalirrooyfard,Mina Dalirrooyfard,imo_gold,0.4574,0.22,-0.2374,0.2374
imo_chung_song_hong,Chung Song Hong,imo_gold,0.2857,0.1343,-0.1514,0.1514
imo_mehmet_efe_akengin,Mehmet Efe Akengin,imo_gold,0.5339,0.1886,-0.3453,0.3453
imo_james_aaronson,James Aaronson,imo_gold,0.2361,0.4125,0.1764,0.1764
imo_bobby_shen,Bobby Shen,imo_gold,0.2374,0.435,0.1976,0.1976
imo_dong_ryul_kim,Dong Ryul Kim,imo_gold,0.3391,0.3386,-0.0006,0.0006
imo_haoyu_wang,Haoyu Wang,imo_gold,0.3604,0.34,-0.0204,0.0204
imo_hao_zuo,Hao Zuo,imo_gold,0.4422,0.3671,-0.075,0.075
imo_hao_wu,Hao Wu,imo_gold,0.4017,0.3,-0.1017,0.1017
imo_yiyang_she,Yiyang She,imo_gold,0.3035,0.3,-0.0035,0.0035
imo_jingwen_chen,Jingwen Chen,imo_gold,0.3035,0.3071,0.0037,0.0037
imo_bogdan_stankov,Bogdan Stankov,imo_gold,0.3891,0.4036,0.0144,0.0144
imo_thomas_swayze,Thomas Swayze,imo_gold,0.153,0.2429,0.0898,0.0898
imo_ravi_jagadeeshan,Ravi Jagadeeshan,imo_gold,0.3226,0.3036,-0.019,0.019
imo_diego_alonso_roque_montoya,Diego Alonso Roque Montoya,imo_gold,0.4539,0.1429,-0.3111,0.3111
imo_panagiotis_lolas,Panagiotis Lolas,imo_gold,0.4504,0.3857,-0.0647,0.0647
imo_jeroen_huijben,Jeroen Huijben,imo_gold,0.4152,0.335,-0.0802,0.0802
imo_jetze_zoethout,Jetze Zoethout,imo_gold,0.3374,0.2857,-0.0517,0.0517
imo_rodrigo_sanches_angelo,Rodrigo Sanches Angelo,imo_gold,0.3835,0.2857,-0.0978,0.0978
imo_pedram_safaee,Pedram Safaee,imo_gold,0.4539,0.2286,-0.2253,0.2253
imo_alek_bedroya,Alek Bedroya,imo_gold,0.2017,0.1014,-0.1003,0.1003
imo_debdyuti_banerjee,Debdyuti Banerjee,imo_gold,0.3357,0.2471,-0.0885,0.0885
imo_prafulla_susil_dhariwal,Prafulla Susil Dhariwal,imo_gold,0.3843,0.2671,-0.1172,0.1172
imo_calvin_deng,Calvin Deng,imo_gold,0.3507,0.435,0.0843,0.0843
imo_matthew_brennan,Matthew Brennan,imo_gold,0.4061,0.4071,0.0011,0.0011
imo_dmitry_krachun,Dmitry Krachun,imo_gold,0.4557,0.42,-0.0357,0.0357
imo_aleksandr_kalmynin,Aleksandr Kalmynin,imo_gold,0.4461,0.3143,-0.1318,0.1318
imo_daniil_kliuev,Daniil Kliuev,imo_gold,0.5352,0.3386,-0.1966,0.1966
imo_chong_luck_ryan_kor,Chong Luck Ryan Kor,imo_gold,0.247,0.2357,-0.0112,0.0112
imo_pakawut_jiradilok,Pakawut Jiradilok,imo_gold,0.5457,0.6171,0.0715,0.0715
imo_jirawat_anunrojwong,Jirawat Anunrojwong,imo_gold,0.497,0.2857,-0.2112,0.2112
imo_hi_dang_du,Hải Đăng Đậu,imo_gold,0.3983,0.4471,0.0489,0.0489
imo_turbat_enkhbayar,Turbat Enkhbayar,imo_gold,0.3196,0.2464,-0.0731,0.0731
imo_hanwool_moon,Hanwool Moon,imo_gold,0.3365,0.2643,-0.0722,0.0722
imo_sung_jin_park,Sung Jin Park,imo_gold,0.4496,0.1464,-0.3031,0.3031
imo_tae_hwan_park,Tae Hwan Park,imo_gold,0.25,0.2943,0.0443,0.0443
imo_brian_chen,Brian Chen,imo_gold,0.2209,0.1529,-0.068,0.068
imo_domagoj_evid,Domagoj Ćevid,imo_gold,0.3817,0.3879,0.0061,0.0061
imo_kwang_choe,Kwang Choe,imo_gold,0.2957,0.3107,0.0151,0.0151
imo_lingfu_zhang,Lingfu Zhang,imo_gold,0.3917,0.5071,0.1154,0.1154
imo_posheng_wu,Po-Sheng Wu,imo_gold,0.4222,0.3964,-0.0257,0.0257
imo_victor_wang,Victor Wang,imo_gold,0.4778,0.3529,-0.125,0.125
imo_james_tao,James Tao,imo_gold,0.2765,0.4657,0.1892,0.1892
imo_omri_nisan_solan,Omri Nisan Solan,imo_gold,0.4409,0.3471,-0.0937,0.0937
imo_stephen_sanjaya,Stephen Sanjaya,imo_gold,0.207,0.135,-0.072,0.072
imo_stpan_simsa,Štěpán Šimsa,imo_gold,0.4087,0.4571,0.0484,0.0484
imo_mark_sellke,Mark Sellke,imo_gold,0.6378,0.63,-0.0078,0.0078
imo_lev_shabanov,Lev Shabanov,imo_gold,0.327,0.3357,0.0088,0.0088
imo_aliaksei_semchankau,Aliaksei Semchankau,imo_gold,0.5043,0.5257,0.0214,0.0214
imo_aref_sadeghi,Aref Sadeghi,imo_gold,0.4213,0.29,-0.1313,0.1313
imo_yutao_liu,Yutao Liu,imo_gold,0.4357,0.4071,-0.0285,0.0285
imo_xiao_liu,Xiao Liu,imo_gold,0.2452,0.15,-0.0952,0.0952
imo_tingchun_lin,Ting-Chun Lin,imo_gold,0.48,0.35,-0.13,0.13
imo_yuxuan_liao,Yuxuan Liao,imo_gold,0.377,0.2271,-0.1498,0.1498
imo_jongwon_lee,Jongwon Lee,imo_gold,0.4461,0.3714,-0.0747,0.0747
imo_jihyon_pak,Jihyon Pak,imo_gold,0.2926,0.225,-0.0676,0.0676
imo_miguel_miranda_ribeiro_moreira,Miguel Miranda Ribeiro Moreira,imo_gold,0.3561,0.27,-0.0861,0.0861
imo_se_hyun_ji,Se Hyun Ji,imo_gold,0.2622,0.1971,-0.065,0.065
imo_eunsoo_jee,Eunsoo Jee,imo_gold,0.3235,0.1371,-0.1863,0.1863
imo_borna_vukorepa,Borna Vukorepa,imo_gold,0.443,0.4007,-0.0423,0.0423
imo_egor_voronetckii,Egor Voronetckii,imo_gold,0.3774,0.3643,-0.0131,0.0131
