entity_id,entity_name,cohort,en_all,zh_all,delta_zh_minus_en,en_western,en_chinese,zh_western,zh_chinese,western_lang_lift,chinese_lang_lift
noi_du_zhuofan_2013,Du Zhuofan (杜卓帆),noi_china_gold,0.468,0.315,-0.153,0.448,0.5,0.376,0.214,-0.072,-0.286
cmo_zhang_yihao_2012,Zhang Yihao (张逸昊),cmo_china_gold,0.438,0.315,-0.122,0.408,0.486,0.343,0.269,-0.065,-0.217
dario_amodei,Dario Amodei,reference_pilot,0.584,0.501,-0.082,0.556,0.629,0.474,0.546,-0.082,-0.082
langchain,LangChain,reference_pilot,0.502,0.453,-0.05,0.488,0.526,0.459,0.443,-0.03,-0.083
ds_yaofeng_sun,Yaofeng Sun,deepseek_v3_author,0.18,0.272,0.092,0.162,0.211,0.268,0.279,0.106,0.068
alex_wei,Alex Wei,reference_pilot,0.039,0.094,0.056,0.044,0.03,0.09,0.102,0.046,0.072
ds_qinyu_chen,Qinyu Chen,deepseek_v3_author,0.15,0.222,0.072,0.177,0.107,0.245,0.186,0.068,0.079
cpho_yu_qian_2009,Yu Qian (于乾),cpho_china_first_prize,0.156,0.188,0.031,0.182,0.114,0.197,0.171,0.016,0.057
ds_junlong_li,Junlong Li,deepseek_v3_author,0.198,0.281,0.083,0.156,0.268,0.296,0.257,0.14,-0.011
cmo_leng_junsheng_2012,Leng Junsheng (冷俊胜),cmo_china_gold,0.508,0.343,-0.165,0.548,0.443,0.349,0.333,-0.199,-0.11
tianshou,Tianshou,reference_pilot,0.42,0.399,-0.021,0.405,0.444,0.378,0.433,-0.027,-0.011
trevor_blackwell,Trevor Blackwell,reference_pilot,0.431,0.474,0.043,0.473,0.361,0.503,0.426,0.03,0.065
pamela_vagata,Pamela Vagata,reference_pilot,0.184,0.194,0.01,0.185,0.182,0.226,0.142,0.041,-0.04
ds_lecong_zhang,Lecong Zhang,deepseek_v3_author,0.157,0.251,0.095,0.122,0.214,0.235,0.279,0.113,0.064
bojie_li,Bojie Li,reference_pilot,0.09,0.105,0.014,0.119,0.043,0.122,0.076,0.003,0.034
ds_guowei_li,Guowei Li,deepseek_v3_author,0.163,0.254,0.091,0.161,0.166,0.256,0.25,0.095,0.084
ds_fuli_luo,Fuli Luo,deepseek_v3_author,0.148,0.276,0.128,0.143,0.157,0.218,0.371,0.075,0.214
cpho_dai_xiaoliang_2009,Dai Xiaoliang (戴晓亮),cpho_china_first_prize,0.23,0.19,-0.04,0.244,0.207,0.2,0.174,-0.044,-0.033
cmo_he_fan_2012,He Fan (何璠),cmo_china_gold,0.317,0.381,0.063,0.354,0.257,0.417,0.321,0.063,0.064
ds_meng_li,Meng Li,deepseek_v3_author,0.123,0.213,0.091,0.132,0.107,0.21,0.218,0.078,0.111
ds_ziwei_xie,Ziwei Xie,deepseek_v3_author,0.169,0.274,0.105,0.201,0.118,0.254,0.307,0.053,0.189
ds_yuxiang_luo,Yuxiang Luo,deepseek_v3_author,0.138,0.228,0.09,0.115,0.176,0.228,0.228,0.113,0.052
noi_du_yuhao_2013,Du Yuhao (杜瑜皓),noi_china_gold,0.638,0.623,-0.015,0.604,0.693,0.568,0.714,-0.037,0.021
ds_xiaowen_sun,Xiaowen Sun,deepseek_v3_author,0.136,0.255,0.119,0.128,0.15,0.263,0.243,0.135,0.093
cmo_yu_chendi_2009,Yu Chendi (余晨迪),cmo_china_gold,0.215,0.265,0.049,0.264,0.136,0.244,0.298,-0.02,0.162
cpho_li_kan_2009,Li Kan (历侃),cpho_china_first_prize,0.171,0.147,-0.024,0.227,0.079,0.171,0.107,-0.057,0.029
cmo_wu_mengxi_2010,Wu Mengxi (吴梦希),cmo_china_gold,0.299,0.228,-0.071,0.276,0.336,0.271,0.157,-0.005,-0.179
cpho_zhong_ding_2009,Zhong Ding (钟顶),cpho_china_first_prize,0.161,0.172,0.011,0.2,0.097,0.216,0.1,0.016,0.003
ds_shanghao_lu,Shanghao Lu,deepseek_v3_author,0.149,0.246,0.097,0.187,0.086,0.252,0.236,0.065,0.15
ds_xin_liu,Xin Liu,deepseek_v3_author,0.17,0.231,0.062,0.15,0.203,0.211,0.264,0.062,0.061
ds_yi_yu,Yi Yu,deepseek_v3_author,0.116,0.222,0.106,0.156,0.05,0.252,0.173,0.096,0.123
logan_kilpatrick,Logan Kilpatrick,reference_pilot,0.768,0.676,-0.092,0.783,0.743,0.643,0.729,-0.139,-0.014
ds_xiaokang_zhang,Xiaokang Zhang,deepseek_v3_author,0.191,0.224,0.033,0.181,0.207,0.251,0.179,0.07,-0.029
cpho_cao_chuanwu_2009,Cao Chuanwu (曹传午),cpho_china_first_prize,0.205,0.209,0.004,0.252,0.129,0.231,0.171,-0.02,0.043
ds_ning_tian,Ning Tian,deepseek_v3_author,0.137,0.232,0.095,0.123,0.161,0.269,0.171,0.147,0.01
cpho_ye_shuhao_2009,Ye Shuhao (叶舒豪),cpho_china_first_prize,0.199,0.24,0.041,0.216,0.171,0.299,0.143,0.083,-0.029
msra_lu_wang_2010,Lu Wang,msra_phd_fellowship,0.26,0.253,-0.007,0.225,0.318,0.285,0.2,0.06,-0.118
cmo_xiao_yikang_2010,Xiao Yikang (肖伊康),cmo_china_gold,0.352,0.287,-0.064,0.296,0.443,0.275,0.307,-0.021,-0.136
cmo_zheng_zhiwei_2009,Zheng Zhiwei (郑志伟),cmo_china_gold,0.207,0.221,0.014,0.22,0.186,0.217,0.229,-0.003,0.043
noi_wu_yi_2009,Wu Yi (吴翼),noi_china_gold,0.36,0.401,0.041,0.336,0.4,0.388,0.421,0.052,0.021
ds_jiashi_li,Jiashi Li,deepseek_v3_author,0.139,0.187,0.048,0.134,0.148,0.246,0.091,0.111,-0.056
ds_xianzu_wang,Xianzu Wang,deepseek_v3_author,0.173,0.204,0.03,0.161,0.193,0.205,0.201,0.043,0.009
mid_tier_politician_christopher_luxon,Christopher Luxon,mid_tier_politician,0.352,0.318,-0.034,0.316,0.413,0.316,0.321,0.0,-0.091
cpho_chen_si_2009,Chen Si (陈思),cpho_china_first_prize,0.161,0.18,0.019,0.198,0.1,0.155,0.221,-0.043,0.121
ds_wenfeng_liang,Wenfeng Liang,deepseek_v3_author,0.229,0.271,0.042,0.243,0.207,0.29,0.24,0.048,0.033
cmo_wang_yuchen_2012,Wang Yuchen (王宇辰),cmo_china_gold,0.435,0.413,-0.022,0.421,0.457,0.412,0.414,-0.009,-0.043
msra_yang_cao_2012,Yang Cao,msra_phd_fellowship,0.284,0.279,-0.005,0.355,0.167,0.288,0.266,-0.067,0.099
ds_zehui_ren,Zehui Ren,deepseek_v3_author,0.229,0.216,-0.012,0.258,0.181,0.241,0.176,-0.017,-0.005
ds_liang_zhao,Liang Zhao,deepseek_v3_author,0.125,0.207,0.082,0.136,0.107,0.217,0.189,0.082,0.082
cpho_zhou_an_2009,Zhou An (周安),cpho_china_first_prize,0.133,0.146,0.013,0.153,0.1,0.165,0.114,0.012,0.014
ds_yixuan_tan,Yixuan Tan,deepseek_v3_author,0.18,0.213,0.033,0.207,0.136,0.233,0.179,0.027,0.043
msra_yuxiang_yang_2017,Yuxiang Yang,msra_phd_fellowship,0.262,0.249,-0.013,0.297,0.204,0.279,0.199,-0.018,-0.005
msra_tae_joon_kim_2010,Tae-Joon Kim,msra_phd_fellowship,0.302,0.302,-0.001,0.334,0.25,0.35,0.221,0.017,-0.029
cpho_sun_sibai_2009,Sun Sibai (孙思白),cpho_china_first_prize,0.139,0.205,0.066,0.19,0.057,0.278,0.086,0.089,0.029
mid_tier_writer_emily_st__john_mandel,Emily St. John Mandel,mid_tier_writer,0.839,0.898,0.058,0.802,0.9,0.87,0.943,0.068,0.043
ds_chenggang_zhao,Chenggang Zhao,deepseek_v3_author,0.174,0.299,0.125,0.171,0.179,0.287,0.318,0.116,0.139
msra_jun_hatori_2009,Jun Hatori,msra_phd_fellowship,0.271,0.262,-0.009,0.31,0.207,0.341,0.132,0.03,-0.075
msra_lijun_wu_2018,Lijun Wu,msra_phd_fellowship,0.393,0.361,-0.032,0.42,0.35,0.365,0.354,-0.054,0.004
cpho_jing_li_2009,Jing Li (靖礼),cpho_china_first_prize,0.091,0.14,0.049,0.111,0.057,0.134,0.15,0.023,0.093
ds_honghui_ding,Honghui Ding,deepseek_v3_author,0.201,0.259,0.058,0.218,0.172,0.273,0.236,0.055,0.063
mira_murati,Mira Murati,reference_pilot,0.442,0.417,-0.025,0.388,0.529,0.383,0.474,-0.006,-0.056
ds_yongqiang_guo,Yongqiang Guo,deepseek_v3_author,0.216,0.238,0.022,0.208,0.229,0.218,0.271,0.01,0.043
ds_wentao_zhang,Wentao Zhang,deepseek_v3_author,0.217,0.269,0.052,0.225,0.204,0.246,0.307,0.021,0.103
mid_tier_filmmaker_cline_sciamma,Céline Sciamma,mid_tier_filmmaker,0.808,0.834,0.026,0.783,0.85,0.785,0.914,0.003,0.064
ds_yang_zhang,Yang Zhang,deepseek_v3_author,0.116,0.259,0.142,0.127,0.1,0.23,0.305,0.104,0.205
ds_yuchen_zhu,Yuchen Zhu,deepseek_v3_author,0.185,0.296,0.112,0.21,0.143,0.246,0.379,0.036,0.236
cmo_huang_xiangyi_2010,Huang Xiangyi (黄向屹),cmo_china_gold,0.273,0.274,0.001,0.374,0.107,0.278,0.268,-0.096,0.161
msra_seokhwan_kim_2010,Seokhwan Kim,msra_phd_fellowship,0.349,0.249,-0.1,0.392,0.279,0.261,0.229,-0.13,-0.05
harrison_chase,Harrison Chase,reference_pilot,0.479,0.368,-0.111,0.453,0.52,0.344,0.406,-0.109,-0.114
sam_altman,Sam Altman,reference_pilot,0.61,0.558,-0.052,0.593,0.637,0.514,0.63,-0.079,-0.007
mid_tier_writer_adrian_tchaikovsky,Adrian Tchaikovsky,mid_tier_writer,0.888,0.864,-0.024,0.898,0.871,0.865,0.863,-0.033,-0.009
noi_wang_yining_2009,Wang Yining (汪一宁),noi_china_gold,0.288,0.324,0.036,0.372,0.15,0.317,0.336,-0.055,0.186
noi_wu_jiajun_2009,Wu Jiajun (吴佳俊),noi_china_gold,0.47,0.537,0.067,0.443,0.514,0.503,0.593,0.06,0.079
greg_brockman,Greg Brockman,reference_pilot,0.562,0.548,-0.014,0.538,0.601,0.509,0.613,-0.029,0.011
ds_aixin_liu,Aixin Liu,deepseek_v3_author,0.226,0.261,0.035,0.199,0.269,0.259,0.263,0.06,-0.006
tri_dao,Tri Dao,reference_pilot,0.532,0.488,-0.044,0.5,0.584,0.463,0.529,-0.037,-0.055
msra_weiming_feng_2018,Weiming Feng,msra_phd_fellowship,0.318,0.299,-0.018,0.383,0.21,0.283,0.325,-0.1,0.115
cpho_tang_lanxi_2009,Tang Lanxi (汤兰西),cpho_china_first_prize,0.16,0.146,-0.013,0.122,0.221,0.178,0.094,0.056,-0.128
msra_tianyu_pang_2020,Tianyu Pang,msra_phd_fellowship,0.482,0.457,-0.025,0.507,0.443,0.48,0.421,-0.027,-0.022
msra_yongtae_park_2014,Yongtae Park,msra_phd_fellowship,0.277,0.321,0.044,0.276,0.279,0.338,0.292,0.063,0.014
ds_r_l_jin,R. L. Jin,deepseek_v3_author,0.151,0.187,0.036,0.143,0.164,0.193,0.179,0.049,0.015
lilian_weng,Lilian Weng,reference_pilot,0.59,0.605,0.015,0.653,0.485,0.608,0.6,-0.045,0.115
msra_william_voorsluys_2009,William Voorsluys,msra_phd_fellowship,0.305,0.322,0.016,0.339,0.25,0.313,0.336,-0.026,0.086
cmo_liu_siyu_2012,Liu Siyu (刘思雨),cmo_china_gold,0.402,0.356,-0.046,0.39,0.421,0.352,0.364,-0.039,-0.057
msra_chang_hyun_park_2017,Chang Hyun Park,msra_phd_fellowship,0.283,0.332,0.05,0.346,0.179,0.374,0.264,0.028,0.086
cmo_wang_zhongjian_2012,Wang Zhongjian (王中剑),cmo_china_gold,0.259,0.42,0.162,0.316,0.164,0.396,0.461,0.08,0.296
vllm,vLLM,reference_pilot,0.527,0.492,-0.035,0.462,0.634,0.444,0.571,-0.018,-0.064
cpho_du_dikang_2009,Du Dikang (杜頔康),cpho_china_first_prize,0.177,0.222,0.044,0.163,0.2,0.217,0.229,0.054,0.029
msra_jiaxin_shi_2018,Jiaxin Shi,msra_phd_fellowship,0.378,0.344,-0.034,0.461,0.243,0.376,0.293,-0.085,0.05
ds_minghua_zhang,Minghua Zhang,deepseek_v3_author,0.199,0.212,0.014,0.2,0.196,0.21,0.217,0.01,0.021
msra_xuanhe_zhou_2022,Xuanhe Zhou,msra_phd_fellowship,0.303,0.27,-0.033,0.278,0.343,0.295,0.229,0.017,-0.114
cmo_xu_ze_2009,Xu Ze (徐泽),cmo_china_gold,0.365,0.405,0.04,0.361,0.373,0.343,0.507,-0.017,0.134
ds_yifan_shi,Yifan Shi,deepseek_v3_author,0.192,0.244,0.052,0.153,0.256,0.278,0.187,0.125,-0.069
cmo_guo_yixuan_2009,Guo Yixuan (郭溢譞),cmo_china_gold,0.236,0.203,-0.033,0.266,0.186,0.193,0.219,-0.073,0.033
ds_ying_tang,Ying Tang,deepseek_v3_author,0.216,0.236,0.02,0.217,0.214,0.2,0.296,-0.017,0.081
mid_tier_filmmaker_david_fincher,David Fincher,mid_tier_filmmaker,0.756,0.731,-0.025,0.74,0.783,0.684,0.807,-0.056,0.024
ikp,IKP (Incompressible Knowledge Probes),reference_pilot,0.091,0.104,0.013,0.089,0.093,0.097,0.114,0.008,0.021
chris_olah,Chris Olah,reference_pilot,0.805,0.737,-0.068,0.736,0.918,0.732,0.744,-0.003,-0.174
ds_kai_hu,Kai Hu,deepseek_v3_author,0.136,0.254,0.118,0.136,0.135,0.268,0.23,0.132,0.095
mid_tier_writer_fred_chappell,Fred Chappell,mid_tier_writer,0.349,0.286,-0.063,0.282,0.46,0.221,0.394,-0.062,-0.066
noi_chen_gaoyuan_2009,Chen Gaoyuan (陈高远),noi_china_gold,0.262,0.392,0.129,0.34,0.136,0.461,0.279,0.121,0.143
msra_yohan_chon_2011,Yohan Chon,msra_phd_fellowship,0.333,0.334,0.001,0.341,0.319,0.341,0.321,0.0,0.002
mid_tier_writer_dorothy_salisbury_davis,Dorothy Salisbury Davis,mid_tier_writer,0.314,0.282,-0.033,0.334,0.282,0.257,0.322,-0.076,0.04
