entity_id,entity_name,cohort,tier,control,noi_score,noi_rank,gold_words,gold_sources,n_models,namerank,namerank_sd,refusal_rate
noi_b_yi_qian_2009,Yi Qian (易茜),noi_china_bronze,bronze,False,200,80,110,3,36,0.0811111111111111,0.17752586318270763,0.5833333333333334
noi_s_wang_zhengyu_2009,Wang Zhengyu (王正宇),noi_china_silver,silver,False,340,26,120,3,36,0.08055555555555556,0.12697209764450973,0.5277777777777778
noi_b_tan_chuanqi_2009,Tan Chuanqi (谭传奇),noi_china_bronze,bronze,False,180,92,145,3,36,0.08,0.16832508230603463,0.6111111111111112
noi_b_yan_jiabao_2009,Yan Jiabao (闫家宝),noi_china_bronze,bronze,False,167,100,101,4,36,0.07916666666666666,0.16806703358415587,0.6666666666666666
noi_b_zou_xun_2009,Zou Xun (邹逊),noi_china_bronze,bronze,False,210,70,135,5,36,0.0788888888888889,0.1527484820396985,0.6111111111111112
noi_b_li_yi_2009,Li Yi (李艺),noi_china_bronze,bronze,False,220,67,108,0,36,0.07805555555555556,0.14277525938116178,0.6111111111111112
noi_b_liang_jinhong_2009,Liang Jinhong (梁錦鴻),noi_china_bronze,bronze,False,190,83,103,5,36,0.07777777777777778,0.16685174908534675,0.6388888888888888
noi_s_huang_yifeng_2009,Huang Yifeng (黄一峰),noi_china_silver,silver,False,300,43,95,0,36,0.07666666666666666,0.1549551906555928,0.5555555555555556
noi_b_li_song_2009,Li Song (李松),noi_china_bronze,bronze,False,166,102,74,7,36,0.075,0.19139110626033687,0.6388888888888888
noi_b_li_bofang_2009,Li Bofang (李博放),noi_china_bronze,bronze,False,248,60,93,5,36,0.07444444444444445,0.1339660911583484,0.5833333333333334
noi_lyu_weicong_2009,Lyu Weicong (吕伟聪),noi_china_gold,gold,False,372,15,124,2,36,0.07340277777777778,0.11496852343651648,0.4722222222222222
noi_s_yan_songbai_2009,Yan Songbai (严松柏),noi_china_silver,silver,False,328,35,121,5,36,0.07222222222222222,0.1254571886056734,0.5277777777777778
noi_s_deng_yongxing_2009,Deng Yongxing (邓永行),noi_china_silver,silver,False,336,28,136,2,36,0.07166666666666667,0.10930334954713063,0.5
noi_s_lyu_xiao_2009,Lyu Xiao (吕潇),noi_china_silver,silver,False,330,33,118,2,36,0.06861111111111111,0.12331425027541486,0.6388888888888888
noi_b_zhang_chong_2009,Zhang Chong (张冲),noi_china_bronze,bronze,False,207,76,89,4,36,0.06833333333333333,0.17367754284561054,0.6666666666666666
noi_b_wei_zhenggong_2009,Wei Zhenggong (魏正功),noi_china_bronze,bronze,False,184,89,79,0,36,0.06805555555555555,0.19900892560168199,0.6944444444444444
noi_lai_luhang_2009,Lai Luhang (赖陆航),noi_china_gold,gold,False,548,3,129,1,36,0.06777777777777778,0.09336639626020318,0.4722222222222222
noi_b_li_runming_2009,Li Runming (李润铭),noi_china_bronze,bronze,False,204,77,82,5,36,0.06727777777777778,0.1307433047172782,0.5555555555555556
noi_wang_yining_2009,Wang Yining (汪一宁),noi_china_gold,gold,False,393,10,131,4,36,0.06611111111111112,0.08740956525898887,0.5277777777777778
noi_chen_keqing_2009,Chen Keqing (陈可卿),noi_china_gold,gold,False,548,3,118,7,36,0.06583333333333334,0.10633738236805008,0.5
noi_s_zhou_yichao_2009,Zhou Yichao (周奕超),noi_china_silver,silver,False,309,39,135,5,36,0.06527777777777778,0.10794767536767039,0.5555555555555556
noi_s_ren_chunxu_2009,Ren Chunxu (任春旭),noi_china_silver,silver,False,280,48,129,1,36,0.06527777777777778,0.110541246980259,0.5277777777777778
noi_li_yuliang_2009,Li Yuliang (李宇亮),noi_china_gold,gold,False,380,11,133,3,36,0.06416666666666666,0.09420353260656182,0.5277777777777778
noi_li_xiaoxiao_2009,Li Xiaoxiao (李晓潇),noi_china_gold,gold,False,429,8,154,4,36,0.06305555555555556,0.1060350949357084,0.5277777777777778
noi_b_rao_guoteng_2009,Rao Guoteng (饶国腾),noi_china_bronze,bronze,False,208,75,116,4,36,0.06277777777777778,0.11936431420727403,0.6388888888888888
noi_s_fan_shunhao_2009,Fan Shunhao (范顺豪),noi_china_silver,silver,False,340,26,123,4,36,0.06222222222222223,0.09366343740314488,0.4444444444444444
noi_chen_gaoyuan_2009,Chen Gaoyuan (陈高远),noi_china_gold,gold,False,413,9,123,5,36,0.06222222222222222,0.10421961617210902,0.5555555555555556
noi_b_jin_lingzi_2009,Jin Lingzi (金凌子),noi_china_bronze,bronze,False,170,95,69,0,36,0.06222222222222222,0.16526260434551346,0.6388888888888888
noi_b_feng_dan_2009,Feng Dan (冯丹),noi_china_bronze,bronze,False,170,95,115,2,36,0.06222222222222222,0.11979406197283159,0.6111111111111112
noi_b_guo_xiaoxu_2009,Guo Xiaoxu (郭晓旭),noi_china_bronze,bronze,False,232,63,121,1,36,0.06180555555555556,0.10033383705422957,0.5555555555555556
noi_s_bai_yanbo_2009,Bai Yanbo (白彦博),noi_china_silver,silver,False,288,47,103,4,36,0.06166666666666667,0.12232697531161674,0.5833333333333334
noi_b_xin_chao_2009,Xin Chao (辛超),noi_china_bronze,bronze,False,255,56,104,1,36,0.06138888888888889,0.1300032644414443,0.6666666666666666
noi_s_ma_hao_2009,Ma Hao (马浩),noi_china_silver,silver,False,290,45,115,2,36,0.06116666666666667,0.12069647421896337,0.6388888888888888
noi_s_sun_xiangyan_2009,Sun Xiangyan (孙祥彦),noi_china_silver,silver,False,331,32,129,1,36,0.06055555555555556,0.13312367775961914,0.6388888888888888
noi_s_an_yujie_2009,An Yujie (安宇杰),noi_china_silver,silver,False,263,54,118,2,36,0.06055555555555556,0.13312367775961914,0.6388888888888888
noi_s_wu_shang_2009,Wu Shang (吴尚),noi_china_silver,silver,False,352,21,117,3,36,0.05972222222222222,0.11028967190265397,0.6111111111111112
noi_b_zhong_yin_2009,Zhong Yin (钟音),noi_china_bronze,bronze,False,210,70,107,0,36,0.05777777777777778,0.1266252368893498,0.6666666666666666
noi_b_miao_peihan_2009,Miao Peihan (缪沛晗),noi_china_bronze,bronze,False,250,57,116,6,36,0.05638888888888889,0.09192849811365406,0.4722222222222222
noi_s_qian_qiao_2009,Qian Qiao (钱桥),noi_china_silver,silver,False,280,48,124,1,36,0.05583333333333333,0.09607216616227153,0.5833333333333334
noi_b_wang_sida_2009,Wang Sida (王思达),noi_china_bronze,bronze,False,170,95,117,2,36,0.05583333333333333,0.10342401934646409,0.5833333333333334
noi_b_fan_rundong_2009,Fan Rundong (樊润冬),noi_china_bronze,bronze,False,227,65,114,1,36,0.05527777777777778,0.10853791224757241,0.5833333333333334
noi_b_dong_yuqian_2009,Dong Yuqian (董宇茜),noi_china_bronze,bronze,False,181,91,114,4,36,0.055,0.1306713434537198,0.6111111111111112
noi_s_xiang_shang_2009,Xiang Shang (向上),noi_china_silver,silver,False,314,38,90,3,36,0.05472222222222222,0.15175795990675983,0.6666666666666666
noi_b_yang_shubai_2009,Yang Shubai (杨舒柏),noi_china_bronze,bronze,False,200,80,122,3,36,0.05472222222222222,0.10927758007099553,0.6111111111111112
noi_b_shen_haoquan_2009,Shen Haoquan (申皓全),noi_china_bronze,bronze,False,170,95,131,3,36,0.051944444444444446,0.10733694208334085,0.6111111111111112
noi_b_xu_lunbo_2009,Xu Lunbo (许伦博),noi_china_bronze,bronze,False,180,92,137,0,36,0.050555555555555555,0.10595975243365978,0.6111111111111112
noi_s_jiang_linhao_2009,Jiang Linhao (蒋林浩),noi_china_silver,silver,False,309,39,179,8,36,0.04791666666666667,0.09368516276456065,0.5277777777777778
noi_s_huang_cai_2009,Huang Cai (黄偲),noi_china_silver,silver,False,301,42,122,2,36,0.04777777777777778,0.11693091766582883,0.7222222222222222
noi_b_zhu_bingqi_2009,Zhu Bingqi (朱炳琪),noi_china_bronze,bronze,False,221,66,126,2,36,0.044444444444444446,0.09331679747697103,0.6388888888888888
noi_b_peng_yuhan_2009,Peng Yuhan (彭禹涵),noi_china_bronze,bronze,False,190,83,127,1,36,0.042777777777777776,0.09968313997392803,0.6111111111111112
noi_s_shu_ruiwen_2009,Shu Ruiwen (舒睿文),noi_china_silver,silver,False,322,37,126,4,36,0.04,0.06582805886043834,0.5555555555555556
noi_s_xiang_ziqing_2009,Xiang Ziqing (向子卿),noi_china_silver,silver,False,271,52,131,11,36,0.03777777777777778,0.07223076872508893,0.5555555555555556
noi_b_xie_luyu_2009,Xie Luyu (谢路昱),noi_china_bronze,bronze,False,240,62,143,2,36,0.036944444444444446,0.07050687296854449,0.5277777777777778
noi_s_pan_zheyi_2009,Pan Zheyi (潘哲逸),noi_china_silver,silver,False,326,36,137,3,36,0.03666666666666667,0.07579211333934716,0.6388888888888888
noi_b_xu_ranci_2009,Xu Ranci (徐苒茨),noi_china_bronze,bronze,False,210,70,114,4,36,0.034999999999999996,0.09397103572673633,0.6111111111111112
noi_b_alafate_2009,Alafate (阿拉法特),noi_china_bronze,bronze,False,210,70,142,2,36,0.024444444444444446,0.06461185152914821,0.6388888888888888
noi_b_sha_mo_2009,Sha Mo (沙漠),noi_china_bronze,bronze,False,190,83,103,1,36,0.021666666666666664,0.06755656066503747,0.7222222222222222
noi_s_hu_zhangguangda_2009,Hu Zhangguangda (胡张广达),noi_china_silver,silver,False,300,43,131,2,36,0.02,0.06123724356957945,0.75
