imo_entity_id,imo_gold_chars,imo_namerank,partner_entity_id,partner_gold_chars,partner_namerank,delta_chars,delta_namerank_imo_minus_partner,match_kind
imo_alexander_gunning,374,0.4884,cmo_li_liying_2010,379,0.2427,-5,0.2457,IMO_vs_CMO_tol_50chars
imo_calvin_deng,371,0.3826,cmo_liu_shuai_2010,379,0.2578,-8,0.12480000000000002,IMO_vs_CMO_tol_50chars
imo_bobby_shen,367,0.3122,cmo_tang_zhihao_2010,379,0.3743,-12,-0.062100000000000044,IMO_vs_CMO_tol_50chars
imo_stephen_sanjaya,372,0.1797,cmo_liu_tianren_2010,379,0.3118,-7,-0.13210000000000002,IMO_vs_CMO_tol_50chars
imo_yau_wing_li,368,0.3035,cmo_zhang_weixi_2010,379,0.3224,-11,-0.018900000000000028,IMO_vs_CMO_tol_50chars
imo_akashnil_dutta,367,0.397,cmo_jin_zhaorong_2010,380,0.2924,-13,0.10460000000000003,IMO_vs_CMO_tol_50chars
imo_jialun_li,362,0.4446,cmo_yao_bowen_2010,380,0.3214,-18,0.12319999999999998,IMO_vs_CMO_tol_50chars
imo_john_berman,362,0.1695,cmo_xiao_jingwei_2010,381,0.3601,-19,-0.19059999999999996,IMO_vs_CMO_tol_50chars
imo_eunsoo_jee,363,0.253,cmo_zhu_wenhuan_2010,381,0.24,-18,0.013000000000000012,IMO_vs_CMO_tol_50chars
imo_chong_luck_ryan_kor,376,0.2427,cmo_zhao_shuoyao_2010,381,0.2676,-5,-0.024900000000000005,IMO_vs_CMO_tol_50chars
imo_khashayar_khosravi,370,0.4835,cmo_huang_zhengyu_2010,381,0.3195,-11,0.16399999999999998,IMO_vs_CMO_tol_50chars
imo_dongyi_wei,363,0.4292,cmo_chen_tianheng_2010,382,0.2541,-19,0.17510000000000003,IMO_vs_CMO_tol_50chars
imo_mehmet_efe_akengin,379,0.4032,cmo_hao_tianyi_2010,382,0.3508,-3,0.0524,IMO_vs_CMO_tol_50chars
imo_matthew_brennan,369,0.4065,cmo_huang_xiangyi_2010,382,0.2731,-13,0.13339999999999996,IMO_vs_CMO_tol_50chars
imo_elena_madalina_persu,375,0.3516,cmo_wu_mengxi_2010,382,0.2986,-7,0.05300000000000005,IMO_vs_CMO_tol_50chars
imo_lin_chen,361,0.357,cmo_huang_jiaoyang_2010,382,0.3122,-21,0.044800000000000006,IMO_vs_CMO_tol_50chars
imo_dong_ryul_kim,372,0.3389,cmo_zhang_huajin_2010,382,0.26,-10,0.07889999999999997,IMO_vs_CMO_tol_50chars
